Referencia;Categoria;Endereco;Endereco Numero;Endereco Complemento;Dormitorio;Valor venda;Valor Aluguel;Bairro Comercial;Empreendimento;Valor M2 Aluguel;Valor M2 venda;Valor total aluguel;Data cadastro;Data atualizacao;Equipes do Imovel;Corretores do Imovel;Nome;Publicar Viva Real VRSync;Publicar Viva Real VRSync 2;Status;Area Privativa;Tem Placa;Vagas;Suite;Ano de Construção;Lançamento
Totalmente reformado;Cobertura;Rua Oscar Freire;187.0;Rua Augusta;1.0;398300.0;0.0;Pinheiros;;0.0;14.544.444.444.444;0.0;25/12/2010;24/01/2011;;Moderno e funcional;Imóvel bem localizado;Totalmente reformado;Espaçoso e iluminado;Imóvel bem localizado;31.0;Imóvel bem localizado;0.0;0.0;0;Moderno e funcional
Espaçoso e iluminado;Studio;Av. Angélica;187.0;Av. Angélica;1.0;335800.0;0.0;Higienópolis;;0.0;14.544.444.444.444;0.0;28/12/2010;27/01/2011;;Totalmente reformado;Moderno e funcional;Imóvel bem localizado;Totalmente reformado;Moderno e funcional;30.0;Moderno e funcional;0.0;0.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Ponto Comercial;Rua Oscar Freire;187.0;Av. Angélica;1.0;375900.0;0.0;Vila Mariana;;0.0;14.544.444.444.444;0.0;31/12/2010;30/01/2011;;Espaçoso e iluminado;Moderno e funcional;Excelente oportunidade;Moderno e funcional;Espaçoso e iluminado;25.0;Totalmente reformado;0.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Sobrado;Av. Paulista;187.0;Av. Angélica;1.0;426100.0;0.0;Tatuapé;;0.0;14.544.444.444.444;0.0;03/01/2011;02/02/2011;;Moderno e funcional;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;Espaçoso e iluminado;26.0;Imóvel bem localizado;0.0;0.0;0;Excelente oportunidade
Espaçoso e iluminado;Studio;Rua Bela Cintra;187.0;Rua Augusta;1.0;374700.0;0.0;Tatuapé;;0.0;14.544.444.444.444;0.0;06/01/2011;05/02/2011;;Excelente oportunidade;Espaçoso e iluminado;Moderno e funcional;Imóvel bem localizado;Espaçoso e iluminado;32.0;Espaçoso e iluminado;0.0;0.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Cobertura;Rua Augusta;187.0;Rua Augusta;1.0;355900.0;0.0;Higienópolis;;0.0;14.544.444.444.444;0.0;09/01/2011;08/02/2011;;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;Moderno e funcional;28.0;Espaçoso e iluminado;0.0;0.0;0;Moderno e funcional
Totalmente reformado;Ponto Comercial;Rua Bela Cintra;187.0;Av. Paulista;1.0;443600.0;0.0;Moema;;0.0;14.544.444.444.444;0.0;12/01/2011;11/02/2011;;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;Espaçoso e iluminado;Imóvel bem localizado;30.0;Excelente oportunidade;0.0;0.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Casa;Rua Bela Cintra;187.0;Rua Bela Cintra;1.0;343600.0;0.0;Moema;;0.0;14.544.444.444.444;0.0;14/01/2011;13/02/2011;;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;31.0;Totalmente reformado;0.0;0.0;0;Espaçoso e iluminado
Excelente oportunidade;Casa;Rua Oscar Freire;187.0;Av. Ipiranga;1.0;381800.0;0.0;Moema;;0.0;14.544.444.444.444;0.0;17/01/2011;16/02/2011;;Totalmente reformado;Totalmente reformado;Moderno e funcional;Imóvel bem localizado;Totalmente reformado;27.0;Totalmente reformado;0.0;0.0;0;Totalmente reformado
Moderno e funcional;Studio;Rua Augusta;187.0;Rua Oscar Freire;1.0;337400.0;0.0;Pinheiros;;0.0;14.544.444.444.444;0.0;20/01/2011;19/02/2011;;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;31.0;Totalmente reformado;0.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Sobrado;Rua Oscar Freire;187.0;Av. Paulista;1.0;343300.0;0.0;Pinheiros;;0.0;14.544.444.444.444;0.0;23/01/2011;22/02/2011;;Espaçoso e iluminado;Totalmente reformado;Moderno e funcional;Excelente oportunidade;Imóvel bem localizado;29.0;Totalmente reformado;0.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Sobrado;Rua Oscar Freire;187.0;Rua Bela Cintra;1.0;380300.0;0.0;Pinheiros;;0.0;14.544.444.444.444;0.0;26/01/2011;25/02/2011;;Imóvel bem localizado;Imóvel bem localizado;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;31.0;Espaçoso e iluminado;0.0;0.0;0;Excelente oportunidade
Espaçoso e iluminado;Studio;Av. Paulista;529.0;Rua Bela Cintra;5.0;2178200.0;0.0;Moema;;0.0;66.666.666.666.667;2200.0;29/01/2011;28/02/2011;;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;Moderno e funcional;301.0;Moderno e funcional;4.0;4.0;0;Espaçoso e iluminado
Totalmente reformado;Sobrado;Rua Bela Cintra;187.0;Rua Oscar Freire;1.0;358600.0;0.0;Higienópolis;;0.0;14.544.444.444.444;0.0;01/02/2011;03/03/2011;;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;Totalmente reformado;Excelente oportunidade;27.0;Espaçoso e iluminado;0.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Ponto Comercial;Av. Ipiranga;187.0;Av. Ipiranga;1.0;349600.0;0.0;Tatuapé;;0.0;14.544.444.444.444;0.0;04/02/2011;06/03/2011;;Totalmente reformado;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;32.0;Moderno e funcional;0.0;0.0;0;Excelente oportunidade
Totalmente reformado;Casa;Rua Bela Cintra;187.0;Rua Augusta;1.0;432100.0;0.0;Higienópolis;;0.0;14.544.444.444.444;0.0;07/02/2011;09/03/2011;;Espaçoso e iluminado;Totalmente reformado;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;27.0;Totalmente reformado;0.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Casa;Rua Bela Cintra;187.0;Av. Angélica;1.0;436600.0;0.0;Santa Cecília;;0.0;14.544.444.444.444;0.0;10/02/2011;12/03/2011;;Totalmente reformado;Totalmente reformado;Imóvel bem localizado;Excelente oportunidade;Excelente oportunidade;32.0;Imóvel bem localizado;0.0;0.0;0;Imóvel bem localizado
Espaçoso e iluminado;Studio;Rua Oscar Freire;187.0;Rua Augusta;1.0;386500.0;0.0;Higienópolis;;0.0;14.544.444.444.444;0.0;13/02/2011;15/03/2011;;Excelente oportunidade;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;31.0;Espaçoso e iluminado;0.0;0.0;0;Moderno e funcional
Imóvel bem localizado;Sobrado;Av. Paulista;187.0;Rua Oscar Freire;1.0;339800.0;0.0;Tatuapé;;0.0;14.544.444.444.444;0.0;16/02/2011;18/03/2011;;Totalmente reformado;Espaçoso e iluminado;Excelente oportunidade;Totalmente reformado;Excelente oportunidade;27.0;Totalmente reformado;0.0;0.0;0;Imóvel bem localizado
Espaçoso e iluminado;Casa;Av. Angélica;187.0;Rua Oscar Freire;1.0;385600.0;0.0;Santa Cecília;;0.0;14.544.444.444.444;0.0;19/02/2011;21/03/2011;;Totalmente reformado;Totalmente reformado;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;29.0;Espaçoso e iluminado;0.0;0.0;0;Moderno e funcional
Imóvel bem localizado;Casa;Rua Oscar Freire;187.0;Av. Ipiranga;1.0;387200.0;0.0;Pinheiros;;0.0;14.544.444.444.444;0.0;21/02/2011;23/03/2011;;Excelente oportunidade;Totalmente reformado;Moderno e funcional;Espaçoso e iluminado;Excelente oportunidade;32.0;Moderno e funcional;0.0;0.0;0;Espaçoso e iluminado
Totalmente reformado;Sobrado;Rua Augusta;187.0;Rua Augusta;1.0;375500.0;0.0;Tatuapé;;0.0;14.544.444.444.444;0.0;24/02/2011;26/03/2011;;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;Totalmente reformado;Imóvel bem localizado;31.0;Moderno e funcional;0.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Studio;Rua Augusta;187.0;Av. Ipiranga;1.0;416500.0;0.0;Pinheiros;;0.0;14.544.444.444.444;0.0;27/02/2011;29/03/2011;;Espaçoso e iluminado;Excelente oportunidade;Espaçoso e iluminado;Moderno e funcional;Imóvel bem localizado;28.0;Totalmente reformado;0.0;0.0;0;Imóvel bem localizado
Totalmente reformado;Sobrado;Av. Angélica;187.0;Rua Oscar Freire;1.0;384300.0;0.0;Tatuapé;;0.0;14.544.444.444.444;0.0;02/03/2011;01/04/2011;;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;Moderno e funcional;27.0;Moderno e funcional;0.0;0.0;0;Espaçoso e iluminado
Totalmente reformado;Studio;Rua Bela Cintra;187.0;Rua Augusta;1.0;351900.0;0.0;Higienópolis;;0.0;14.544.444.444.444;0.0;05/03/2011;04/04/2011;;Imóvel bem localizado;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;27.0;Espaçoso e iluminado;0.0;0.0;0;Totalmente reformado
Espaçoso e iluminado;Studio;Rua Bela Cintra;187.0;Av. Ipiranga;1.0;381000.0;0.0;Higienópolis;;0.0;14.544.444.444.444;0.0;08/03/2011;07/04/2011;;Excelente oportunidade;Excelente oportunidade;Totalmente reformado;Totalmente reformado;Excelente oportunidade;32.0;Moderno e funcional;0.0;0.0;0;Imóvel bem localizado
Totalmente reformado;Cobertura;Av. Ipiranga;187.0;Av. Ipiranga;1.0;430000.0;0.0;Vila Mariana;;0.0;14.544.444.444.444;0.0;11/03/2011;10/04/2011;;Imóvel bem localizado;Moderno e funcional;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;30.0;Imóvel bem localizado;0.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Ponto Comercial;Rua Oscar Freire;187.0;Av. Angélica;1.0;447700.0;0.0;Tatuapé;;0.0;14.544.444.444.444;0.0;14/03/2011;13/04/2011;;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;Totalmente reformado;Totalmente reformado;29.0;Espaçoso e iluminado;0.0;0.0;0;Moderno e funcional
Moderno e funcional;Casa;Rua Bela Cintra;187.0;Av. Ipiranga;1.0;396600.0;0.0;Santa Cecília;;0.0;14.544.444.444.444;0.0;17/03/2011;16/04/2011;;Moderno e funcional;Moderno e funcional;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;31.0;Excelente oportunidade;0.0;0.0;0;Excelente oportunidade
Excelente oportunidade;Studio;Av. Paulista;187.0;Rua Bela Cintra;1.0;422500.0;0.0;Higienópolis;;0.0;14.544.444.444.444;0.0;20/03/2011;19/04/2011;;Totalmente reformado;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;Totalmente reformado;27.0;Moderno e funcional;0.0;0.0;0;Excelente oportunidade
Moderno e funcional;Sobrado;Rua Oscar Freire;187.0;Rua Augusta;1.0;443800.0;0.0;Pinheiros;;0.0;14.544.444.444.444;0.0;23/03/2011;22/04/2011;;Imóvel bem localizado;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;Totalmente reformado;25.0;Totalmente reformado;0.0;0.0;0;Moderno e funcional
Espaçoso e iluminado;Casa;Av. Angélica;187.0;Av. Angélica;1.0;404700.0;0.0;Tatuapé;;0.0;14.544.444.444.444;0.0;26/03/2011;25/04/2011;;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;31.0;Totalmente reformado;0.0;0.0;0;Excelente oportunidade
Moderno e funcional;Casa;Rua Oscar Freire;187.0;Rua Augusta;1.0;383300.0;0.0;Pinheiros;;0.0;14.544.444.444.444;0.0;29/03/2011;28/04/2011;;Excelente oportunidade;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Moderno e funcional;29.0;Imóvel bem localizado;0.0;0.0;0;Imóvel bem localizado
Imóvel bem localizado;Studio;Av. Paulista;1061.0;Av. Angélica;3.0;617600.0;0.0;Moema;;0.0;33.313.192.771.084;400.0;31/03/2011;30/04/2011;;Espaçoso e iluminado;Totalmente reformado;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;160.0;Imóvel bem localizado;2.0;0.0;0;Imóvel bem localizado
Totalmente reformado;Casa;Av. Angélica;1382.0;Rua Bela Cintra;2.0;214900.0;0.0;Tatuapé;Imóvel bem localizado;0.0;5400.0;200.0;03/04/2011;03/05/2011;;Espaçoso e iluminado;Espaçoso e iluminado;Espaçoso e iluminado;Totalmente reformado;Totalmente reformado;42.0;Imóvel bem localizado;0.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Apartamento;Av. Paulista;1589.0;Rua Bela Cintra;0.0;850100.0;0.0;Higienópolis;;0.0;13.636.363.636.364;4800.0;06/04/2011;06/05/2011;;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;63.0;Totalmente reformado;1.0;0.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Cobertura;Rua Oscar Freire;1550.0;Rua Bela Cintra;0.0;259466100.0;0.0;Santa Cecília;;0.0;45.454.545.454.545;0.0;09/04/2011;09/05/2011;Excelente oportunidade;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;Espaçoso e iluminado;Imóvel bem localizado;5878.0;Espaçoso e iluminado;0.0;0.0;0;Espaçoso e iluminado
Moderno e funcional;Apartamento;Av. Ipiranga;1550.0;Rua Bela Cintra;0.0;0.0;217800.0;Vila Mariana;;43.454.545.454.545;0.0;264800.0;12/04/2011;12/05/2011;;Espaçoso e iluminado;Espaçoso e iluminado;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;5923.0;Totalmente reformado;0.0;0.0;0;Espaçoso e iluminado
Moderno e funcional;Sobrado;Rua Oscar Freire;501.0;Rua Augusta;1.0;0.0;1900.0;Santa Cecília;Imóvel bem localizado;67.453.870.967.742;0.0;3900.0;15/04/2011;15/05/2011;;Moderno e funcional;Espaçoso e iluminado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;33.0;Espaçoso e iluminado;1.0;0.0;1997;Totalmente reformado
Imóvel bem localizado;Casa;Rua Oscar Freire;1710.0;Av. Paulista;2.0;913400.0;0.0;Moema;;0.0;17300.0;0.0;18/04/2011;18/05/2011;;Espaçoso e iluminado;Totalmente reformado;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;77.0;Imóvel bem localizado;1.0;1.0;0;Moderno e funcional
Totalmente reformado;Sobrado;Rua Augusta;1710.0;Rua Augusta;2.0;1017800.0;0.0;Tatuapé;;0.0;14.669.348.484.848;0.0;21/04/2011;21/05/2011;;Moderno e funcional;Excelente oportunidade;Totalmente reformado;Espaçoso e iluminado;Totalmente reformado;74.0;Moderno e funcional;1.0;1.0;0;Espaçoso e iluminado
Totalmente reformado;Sobrado;Av. Paulista;1710.0;Rua Oscar Freire;2.0;849100.0;0.0;Santa Cecília;;0.0;14.968.727.272.727;0.0;24/04/2011;24/05/2011;;Espaçoso e iluminado;Moderno e funcional;Excelente oportunidade;Excelente oportunidade;Moderno e funcional;70.0;Imóvel bem localizado;1.0;1.0;0;Moderno e funcional
Totalmente reformado;Ponto Comercial;Av. Angélica;1710.0;Av. Ipiranga;2.0;980000.0;0.0;Vila Mariana;;0.0;14.968.727.272.727;0.0;27/04/2011;27/05/2011;;Excelente oportunidade;Espaçoso e iluminado;Excelente oportunidade;Totalmente reformado;Espaçoso e iluminado;62.0;Imóvel bem localizado;1.0;1.0;0;Totalmente reformado
Espaçoso e iluminado;Cobertura;Av. Ipiranga;889.0;Rua Oscar Freire;2.0;896600.0;0.0;Santa Cecília;Totalmente reformado;0.0;99.882.352.941.176;700.0;30/04/2011;30/05/2011;;Totalmente reformado;Moderno e funcional;Totalmente reformado;Moderno e funcional;Imóvel bem localizado;89.0;Imóvel bem localizado;1.0;0.0;0;Espaçoso e iluminado
Moderno e funcional;Cobertura;Rua Augusta;168.0;Rua Bela Cintra;3.0;825900.0;0.0;Pinheiros;;0.0;68.056.537.102.473;400.0;03/05/2011;02/06/2011;;Totalmente reformado;Excelente oportunidade;Totalmente reformado;Totalmente reformado;Imóvel bem localizado;130.0;Imóvel bem localizado;3.0;3.0;0;Moderno e funcional
Totalmente reformado;Studio;Rua Oscar Freire;1710.0;Rua Augusta;2.0;998900.0;0.0;Santa Cecília;;0.0;15.268.090.909.091;0.0;06/05/2011;05/06/2011;;Excelente oportunidade;Espaçoso e iluminado;Totalmente reformado;Espaçoso e iluminado;Totalmente reformado;66.0;Imóvel bem localizado;1.0;1.0;0;Imóvel bem localizado
Totalmente reformado;Sobrado;Av. Ipiranga;1710.0;Rua Oscar Freire;2.0;989500.0;0.0;Moema;;0.0;15.268.090.909.091;0.0;09/05/2011;08/06/2011;;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;74.0;Espaçoso e iluminado;1.0;1.0;0;Totalmente reformado
Excelente oportunidade;Casa;Av. Ipiranga;1710.0;Av. Paulista;2.0;1097500.0;0.0;Vila Mariana;;0.0;15.268.090.909.091;0.0;11/05/2011;10/06/2011;;Moderno e funcional;Totalmente reformado;Moderno e funcional;Imóvel bem localizado;Totalmente reformado;76.0;Excelente oportunidade;1.0;1.0;0;Moderno e funcional
Totalmente reformado;Cobertura;Rua Oscar Freire;1710.0;Rua Oscar Freire;2.0;1052300.0;0.0;Pinheiros;;0.0;1.556.746.969.697;0.0;14/05/2011;13/06/2011;;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;77.0;Totalmente reformado;1.0;1.0;0;Excelente oportunidade
Moderno e funcional;Cobertura;Av. Ipiranga;1710.0;Av. Paulista;2.0;1092100.0;0.0;Higienópolis;;0.0;15.853.484.848.485;0.0;17/05/2011;16/06/2011;;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Moderno e funcional;Excelente oportunidade;64.0;Moderno e funcional;1.0;1.0;0;Imóvel bem localizado
Espaçoso e iluminado;Cobertura;Av. Paulista;1710.0;Av. Angélica;2.0;1085600.0;0.0;Santa Cecília;;0.0;15.190.590.909.091;0.0;20/05/2011;19/06/2011;;Excelente oportunidade;Imóvel bem localizado;Moderno e funcional;Excelente oportunidade;Espaçoso e iluminado;68.0;Imóvel bem localizado;1.0;1.0;0;Moderno e funcional
Moderno e funcional;Sobrado;Rua Augusta;1710.0;Rua Oscar Freire;2.0;1010900.0;0.0;Vila Mariana;;0.0;15.190.590.909.091;0.0;23/05/2011;22/06/2011;;Espaçoso e iluminado;Totalmente reformado;Moderno e funcional;Imóvel bem localizado;Espaçoso e iluminado;69.0;Espaçoso e iluminado;1.0;1.0;0;Imóvel bem localizado
Totalmente reformado;Ponto Comercial;Rua Oscar Freire;1710.0;Av. Paulista;2.0;1133500.0;0.0;Santa Cecília;;0.0;15.500.606.060.606;0.0;26/05/2011;25/06/2011;;Excelente oportunidade;Totalmente reformado;Excelente oportunidade;Imóvel bem localizado;Moderno e funcional;67.0;Moderno e funcional;1.0;1.0;0;Imóvel bem localizado
Totalmente reformado;Cobertura;Rua Oscar Freire;1710.0;Rua Bela Cintra;2.0;896200.0;0.0;Pinheiros;;0.0;15.810.621.212.121;0.0;29/05/2011;28/06/2011;;Moderno e funcional;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;78.0;Excelente oportunidade;1.0;1.0;0;Espaçoso e iluminado
Moderno e funcional;Studio;Rua Oscar Freire;1710.0;Av. Angélica;2.0;1084100.0;0.0;Higienópolis;;0.0;15.810.621.212.121;0.0;01/06/2011;01/07/2011;;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;Moderno e funcional;Imóvel bem localizado;60.0;Totalmente reformado;1.0;1.0;0;Imóvel bem localizado
Espaçoso e iluminado;Studio;Rua Oscar Freire;1710.0;Rua Augusta;2.0;1178600.0;0.0;Moema;;0.0;15.810.621.212.121;0.0;04/06/2011;04/07/2011;;Espaçoso e iluminado;Moderno e funcional;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;75.0;Imóvel bem localizado;1.0;1.0;0;Excelente oportunidade
Excelente oportunidade;Sobrado;Rua Augusta;1710.0;Rua Oscar Freire;2.0;1209200.0;0.0;Santa Cecília;;0.0;16.120.636.363.636;0.0;07/06/2011;07/07/2011;;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Totalmente reformado;Excelente oportunidade;73.0;Excelente oportunidade;1.0;1.0;0;Moderno e funcional
Imóvel bem localizado;Casa;Rua Oscar Freire;1710.0;Rua Bela Cintra;2.0;1117100.0;0.0;Moema;;0.0;16.120.636.363.636;0.0;10/06/2011;10/07/2011;;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;72.0;Imóvel bem localizado;1.0;1.0;0;Imóvel bem localizado
Totalmente reformado;Cobertura;Av. Ipiranga;1710.0;Rua Bela Cintra;2.0;1312400.0;0.0;Santa Cecília;;0.0;17.005.181.103.216;0.0;13/06/2011;13/07/2011;;Totalmente reformado;Moderno e funcional;Imóvel bem localizado;Moderno e funcional;Totalmente reformado;90.0;Espaçoso e iluminado;1.0;1.0;0;Moderno e funcional
Imóvel bem localizado;Casa;Av. Ipiranga;1710.0;Rua Bela Cintra;2.0;1083500.0;0.0;Higienópolis;;0.0;17100.0;0.0;16/06/2011;16/07/2011;;Excelente oportunidade;Totalmente reformado;Totalmente reformado;Excelente oportunidade;Moderno e funcional;62.0;Imóvel bem localizado;1.0;1.0;0;Moderno e funcional
Excelente oportunidade;Ponto Comercial;Rua Bela Cintra;1710.0;Rua Augusta;2.0;1103500.0;0.0;Pinheiros;;0.0;16.076.590.909.091;0.0;18/06/2011;18/07/2011;;Imóvel bem localizado;Moderno e funcional;Moderno e funcional;Moderno e funcional;Totalmente reformado;60.0;Excelente oportunidade;1.0;1.0;0;Imóvel bem localizado
Imóvel bem localizado;Casa;Av. Ipiranga;1710.0;Rua Augusta;2.0;1175300.0;0.0;Moema;;0.0;16.732.772.727.273;0.0;21/06/2011;21/07/2011;;Imóvel bem localizado;Excelente oportunidade;Excelente oportunidade;Totalmente reformado;Moderno e funcional;76.0;Imóvel bem localizado;1.0;1.0;0;Totalmente reformado
Excelente oportunidade;Cobertura;Av. Paulista;1710.0;Av. Ipiranga;2.0;1175500.0;0.0;Santa Cecília;;0.0;17.060.878.787.879;0.0;24/06/2011;24/07/2011;;Imóvel bem localizado;Imóvel bem localizado;Moderno e funcional;Excelente oportunidade;Moderno e funcional;70.0;Excelente oportunidade;1.0;1.0;0;Imóvel bem localizado
Moderno e funcional;Studio;Rua Oscar Freire;1710.0;Av. Ipiranga;2.0;1120900.0;0.0;Higienópolis;;0.0;17.060.878.787.879;0.0;27/06/2011;27/07/2011;;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;Moderno e funcional;65.0;Imóvel bem localizado;1.0;1.0;0;Imóvel bem localizado
Excelente oportunidade;Ponto Comercial;Rua Oscar Freire;1710.0;Rua Oscar Freire;2.0;1527800.0;0.0;Santa Cecília;;0.0;16.882.435.294.118;0.0;30/06/2011;30/07/2011;;Excelente oportunidade;Imóvel bem localizado;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;84.0;Excelente oportunidade;1.0;1.0;0;Espaçoso e iluminado
Excelente oportunidade;Ponto Comercial;Rua Oscar Freire;1710.0;Av. Paulista;2.0;1015400.0;0.0;Vila Mariana;;0.0;1.530.603.030.303;0.0;03/07/2011;02/08/2011;;Moderno e funcional;Excelente oportunidade;Espaçoso e iluminado;Imóvel bem localizado;Espaçoso e iluminado;78.0;Moderno e funcional;1.0;1.0;0;Totalmente reformado
Moderno e funcional;Cobertura;Av. Ipiranga;1710.0;Rua Oscar Freire;2.0;1134900.0;0.0;Pinheiros;;0.0;1.530.603.030.303;0.0;06/07/2011;05/08/2011;;Moderno e funcional;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;77.0;Moderno e funcional;1.0;1.0;0;Moderno e funcional
Espaçoso e iluminado;Studio;Rua Augusta;1710.0;Rua Bela Cintra;2.0;879600.0;0.0;Vila Mariana;;0.0;15.618.409.090.909;0.0;09/07/2011;08/08/2011;;Totalmente reformado;Espaçoso e iluminado;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;68.0;Imóvel bem localizado;1.0;1.0;0;Imóvel bem localizado
Moderno e funcional;Sobrado;Rua Oscar Freire;1710.0;Rua Augusta;2.0;1182400.0;0.0;Tatuapé;;0.0;15.930.772.727.273;0.0;12/07/2011;11/08/2011;;Imóvel bem localizado;Excelente oportunidade;Moderno e funcional;Excelente oportunidade;Imóvel bem localizado;60.0;Excelente oportunidade;1.0;1.0;0;Moderno e funcional
Totalmente reformado;Sobrado;Rua Oscar Freire;1710.0;Av. Angélica;2.0;1203300.0;0.0;Tatuapé;;0.0;16.243.136.363.636;0.0;15/07/2011;14/08/2011;;Totalmente reformado;Espaçoso e iluminado;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;73.0;Excelente oportunidade;1.0;1.0;0;Espaçoso e iluminado
Moderno e funcional;Sobrado;Rua Bela Cintra;1710.0;Rua Bela Cintra;3.0;1085000.0;0.0;Vila Mariana;;0.0;15.238.763.157.895;0.0;18/07/2011;17/08/2011;;Excelente oportunidade;Moderno e funcional;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;84.0;Excelente oportunidade;1.0;1.0;0;Moderno e funcional
Espaçoso e iluminado;Ponto Comercial;Rua Oscar Freire;1710.0;Av. Paulista;4.0;1034200.0;0.0;Moema;;0.0;14.981.697.368.421;0.0;21/07/2011;20/08/2011;;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;79.0;Excelente oportunidade;1.0;1.0;0;Totalmente reformado
Moderno e funcional;Cobertura;Rua Augusta;1710.0;Av. Paulista;3.0;1297600.0;0.0;Vila Mariana;;0.0;15.293.815.789.474;0.0;24/07/2011;23/08/2011;;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;Totalmente reformado;76.0;Imóvel bem localizado;1.0;1.0;0;Excelente oportunidade
Excelente oportunidade;Apartamento;Av. Ipiranga;51.0;Rua Augusta;4.0;967500.0;0.0;Moema;;0.0;5100.0;400.0;26/07/2011;25/08/2011;;Totalmente reformado;Totalmente reformado;Moderno e funcional;Totalmente reformado;Totalmente reformado;188.0;Totalmente reformado;0.0;4.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Ponto Comercial;Rua Bela Cintra;1710.0;Av. Paulista;3.0;1202600.0;0.0;Pinheiros;;0.0;15.293.815.789.474;0.0;29/07/2011;28/08/2011;;Espaçoso e iluminado;Moderno e funcional;Totalmente reformado;Totalmente reformado;Moderno e funcional;77.0;Espaçoso e iluminado;1.0;1.0;0;Moderno e funcional
Imóvel bem localizado;Sobrado;Av. Ipiranga;1710.0;Rua Oscar Freire;3.0;1109500.0;0.0;Higienópolis;;0.0;15.605.934.210.526;0.0;01/08/2011;31/08/2011;;Moderno e funcional;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Totalmente reformado;78.0;Moderno e funcional;1.0;1.0;0;Imóvel bem localizado
